X,Y,Z,r,absv
0.0505502,0.0620607,0.0499935,0.05,6.71797e-05
0.172726,0.049996,0.0499881,0.05,3.34191e-05
0.272768,0.0499979,0.0499914,0.05,0.000354277
0.375011,0.0517456,0.0499935,0.05,8.45807e-05
0.478742,0.0499968,0.0499927,0.05,0.000345196
0.578687,0.0532265,0.0499935,0.05,0.000243422
0.678679,0.0544266,0.0499935,0.05,0.000339361
0.778652,0.0521882,0.0499935,0.05,0.000346393
0.878633,0.0541033,0.0499935,0.05,0.000244245
0.978628,0.0532018,0.0499937,0.05,0.000192817
1.07858,0.0500996,0.0499922,0.05,0.000707644
1.18067,0.0500225,0.0499924,0.05,0.000249423
1.28067,0.0499995,0.0499935,0.05,0.000140694
1.3806,0.0537529,0.0499935,0.05,9.25981e-05
1.48059,0.0528094,0.0499936,0.05,9.31872e-05
1.58057,0.050604,0.0499935,0.05,0.000118508
1.6825,0.0499982,0.0499923,0.05,4.44271e-05
1.78249,0.0499974,0.0499918,0.05,3.90347e-05
1.88244,0.053411,0.0499935,0.05,5.60328e-05
1.98243,0.0534314,0.0499935,0.05,9.75118e-05
2.08341,0.0532157,0.0499936,0.05,2.64909e-05
2.18331,0.0576706,0.0499422,0.05,0.000253861
2.28308,0.0510088,0.0499924,0.05,0.000115026
2.38306,0.0499942,0.049992,0.05,0.000174794
2.48305,0.0499816,0.0499776,0.05,0.000295102
2.58458,0.0510558,0.0499469,0.05,0.000255608
2.68813,0.0504761,0.0499936,0.05,2.34731e-05
2.79035,0.0499781,0.0499705,0.05,0.000310405
2.94858,0.0499941,0.0499906,0.05,0.000253151
0.112306,0.150759,0.0499525,0.05,6.74749e-05
0.217432,0.151117,0.0498909,0.05,0.000114662
0.321008,0.152103,0.0499818,0.05,0.00016231
0.42343,0.153189,0.0499555,0.05,0.000309575
0.525697,0.154322,0.0499601,0.05,9.08646e-05
0.626726,0.154326,0.0499491,0.05,8.9236e-05
0.727794,0.155385,0.0499423,0.05,2.0953e-05
0.828364,0.155896,0.0499316,0.05,1.12515e-05
0.929015,0.156366,0.049942,0.05,4.645e-05
1.02947,0.156711,0.0499484,0.05,1.06167e-05
1.12991,0.156939,0.0499575,0.05,2.76097e-06
1.23038,0.156838,0.0499555,0.05,1.69813e-06
1.33086,0.156936,0.0499427,0.05,8.88102e-06
1.43134,0.157122,0.0499563,0.05,2.34353e-06
1.53181,0.157019,0.0499525,0.05,2.60555e-06
1.63225,0.157035,0.0499684,0.05,9.43818e-06
