point_x,point_y,point_z,force_x,force_y,force_z
0.0563403,0.163872,0.2,4.14425,0.664204,-3.59061
0.0563403,0.163872,0.2,4.14425,0.664204,-3.59061
0.0563403,-0.31798,0.2,-62.6991,7.46785,74.3324
0.0563403,-0.31798,0.2,-62.6991,7.46785,74.3324
0.0559602,-0.318814,0.212545,-143.134,5.3087,-76.8734
0.0553675,-0.220671,0.232109,-433.703,-188.917,90.3518
0.0554096,-0.21928,0.230719,-393.7,-72.6369,-77.2277
0.0544818,-0.222604,0.261344,-188.682,-27.3745,76.9782
0.055217,-0.185498,0.237078,107.619,-36.2878,-25.1287
0.056004,-0.0594504,0.211099,-1092.38,180.568,130.244
0.0563403,-0.0594504,0.2,-22.2888,5.43184,-19.2216
0.0562343,0.0885967,0.203497,-164.24,-81.3453,-17.8214
0.0563403,0.0885967,0.2,-50.3437,-18.7519,-29.0915
0.0563403,0.271037,0.2,-386.262,6.45699,128.16
0.0563403,0.271037,0.2,-386.262,6.45699,128.16
0.0563403,-0.418599,0.2,-123.442,-3.20379,-57.2862
0.0563403,-0.418599,0.2,-123.736,-37.3604,-25.1453
0.0540535,-0.135297,0.275483,-82.5293,-41.25,-1.34724
0.0533562,-0.153293,0.298497,17.1222,-7.77622,-0.644689
0.0533834,-0.152398,0.297602,28.8095,-14.1824,-2.03523
0.0539556,0.123727,0.278713,-90.9031,41.2808,-22.5359
0.0560444,0.494624,0.209766,-313.096,112.686,-120.722
0.0540897,-0.3481,0.274288,117.012,-25.3561,54.8809
0.0541949,-0.383333,0.270813,50.0254,0.977969,-2.52356
0.0541949,-0.376489,0.270813,-157.087,-38.9069,-68.7647
0.0531951,-0.050389,0.303817,-79.7024,-28.0744,-31.3507
0.0527447,-0.0752081,0.318682,-176.707,-58.2231,59.8679
0.0563403,0.644561,0.2,6.76767,-0.7622,-3.31506
0.0563403,0.644561,0.2,6.76767,-0.7622,-3.31506
0.053935,-0.462728,0.279395,-111.926,-4.01176,2.94874
0.0540232,-0.465643,0.276483,-248.758,-77.4838,-106.865
0.0523873,-0.252854,0.330479,-6.13432,-1.54665,-2.91794
0.0523736,-0.25,0.330932,43.1174,-1.34142,-17.9312
0.0523009,-0.25,0.333333,66.918,-7.36153,-27.816
0.0522868,-0.250499,0.333832,65.6306,-9.63395,-23.8511
0.0523736,-0.253309,0.330932,-7.48146,-2.58698,-2.98986
0.0523009,-0.25,0.333333,66.918,-7.36151,-27.816
0.0523009,-0.253309,0.333333,23.8716,-9.66433,-1.06472
0.0527531,-0.279122,0.318405,-286.647,-139.929,20.547
0.052277,0.0532065,0.33418,-23.8905,-11.0212,3.782
0.0523009,0.0532065,0.333333,-21.4041,-10.3203,1.62691
0.0532657,0.407112,0.301485,-44.0344,10.4061,17.7604
0.0563403,-0.700049,0.2,30.689,-13.7573,-6.18217
0.0563403,-0.700049,0.2,30.689,-13.7573,-6.18217
0.05454,-0.576091,0.259424,-20.222,-2.33592,-1.14267
0.05451,-0.575102,0.260413,-23.8188,-7.06313,8.70065
0.051869,-0.398645,0.348645,41.4256,-3.97532,-15.1666
0.0518119,-0.39662,0.350669,22.5474,-3.0498,-8.60167
0.0522784,-0.414456,0.33413,-74.6421,-0.793843,-26.141
0.0523009,-0.414456,0.333333,-70.4234,-1.20539,-28.4463
0.050878,-0.0925172,0.383776,2.4657,-0.398054,-1.0811
0.0536036,0.226122,0.290332,-106.861,13.8025,-55.7262
0.0550628,0.599249,0.242167,118.088,53.0588,-21.5219
0.0521754,-0.545531,0.337782,-237.857,-3.86292,-14.9746
0.0523009,-0.545531,0.333333,-105.435,34.3883,-56.9507
0.0511649,-0.183901,0.373608,55.0527,-1.56226,-25.5679
0.0495275,0.114537,0.431656,-124.566,-30.7308,17.8876
0.0495339,0.114763,0.431429,-123.192,47.8201,-3.29308
0.0498433,0.0775552,0.420461,-158.838,7.41158,-66.7659
0.0522345,0.321186,0.335685,7.89418,-1.33885,-1.58258
0.0523009,0.321186,0.333333,31.8501,-4.16712,-10.8602
0.0528548,0.330543,0.315048,-656.884,83.8655,-224.079
0.0536462,-0.673753,0.288927,59.2228,2.90577,1.3669
0.0492939,-0.405771,0.43994,-24.1096,-3.25122,5.3897
0.0530015,0.504143,0.310206,-71.7113,28.9626,18.4683
0.0519923,0.497731,0.344274,-137.016,51.7715,40.1098
0.050522,-0.500056,0.3964,78.833,-29.1723,-23.7695
0.0490018,-0.153103,0.450294,-196.802,49.2647,-8.93573
0.04854,0.168326,0.466667,-27.3627,12.0514,-6.76574
0.0485648,0.168326,0.465787,-32.8062,14.4334,-8.97144
0.0498507,0.351049,0.420197,86.3759,-6.44314,32.7191
0.049423,0.368012,0.435362,-131.378,54.1743,19.662
0.0544299,0.683333,0.263058,-91.8982,40.848,-48.5225
0.0544299,0.680882,0.263058,-156.151,26.8333,-79.3238
0.0502438,-0.616198,0.406263,27.4113,-12.2829,5.13812
0.0507477,-0.600698,0.388399,-3.61709,-0.919394,1.43168
0.0479816,-0.31866,0.48805,-125.377,-56.7403,18.6284
0.0472387,-0.0512186,0.516492,-16.232,-1.81569,-8.4472
0.0466435,-0.0132445,0.539283,-51.9072,5.82153,23.6196
0.04854,0.262022,0.466667,98.8693,-18.2236,28.2444
0.0487501,0.262022,0.459219,-132.483,43.3616,-12.9997
0.0509747,0.545282,0.380351,-204.958,31.5255,-1.26392
0.0509747,0.55,0.380351,16.7652,2.1114,-3.39878
