X,Y,Z,r,absv
-0.943212,-0.485836,0.0447855,0.045,0.00409424
-0.954539,-0.513074,0.0252971,0.025,0.00409424
-0.924816,-0.521695,0.0617626,0.0125,0.00409424
-0.976757,-0.502772,0.0622967,0.0225,0.00409424
-0.946131,-0.487605,0.0810256,0.0175,0.00409424
-0.90972,-0.472026,0.0509169,0.0175,0.00409424
-0.760722,-0.541573,0.0490952,0.045,0.016896
-0.785726,-0.525143,0.0302569,0.025,0.016896
-0.741478,-0.527843,0.0123027,0.0125,0.016896
-0.778001,-0.568113,0.0223403,0.0225,0.016896
-0.740544,-0.567282,0.0330681,0.0175,0.016896
-0.729164,-0.529889,0.0638456,0.0175,0.016896
-0.659235,-0.628164,0.0446796,0.045,0.0232433
-0.629881,-0.628244,0.024973,0.025,0.0232433
-0.628881,-0.649555,0.0677785,0.0125,0.0232433
-0.657309,-0.66302,0.0223165,0.0225,0.0232433
-0.671321,-0.659587,0.0585193,0.0175,0.0232433
-0.666861,-0.613886,0.0776642,0.0175,0.0232433
-0.516468,-0.637324,0.0474739,0.045,0.0128304
-0.524465,-0.603958,0.0560045,0.025,0.0128304
-0.508408,-0.613187,0.011908,0.0125,0.0128304
-0.555481,-0.628835,0.0363101,0.0225,0.0128304
-0.530414,-0.651617,0.0170401,0.0175,0.0128304
-0.485033,-0.653425,0.0373449,0.0175,0.0128304
-0.432423,-0.593071,0.0444584,0.045,0.00611816
-0.431767,-0.566085,0.0672911,0.025,0.00611816
-0.418724,-0.609474,0.082613,0.0125,0.00611816
-0.394486,-0.576386,0.0455466,0.0225,0.00611816
-0.402947,-0.614176,0.0411827,0.0175,0.00611816
-0.451561,-0.624427,0.0437459,0.0175,0.00611816
-0.307349,-0.662742,0.0445261,0.045,0.0155617
-0.331013,-0.65712,0.0701856,0.025,0.0155617
-0.299479,-0.62262,0.0600442,0.0125,0.0155617
-0.340485,-0.643131,0.0291568,0.0225,0.0155617
-0.303436,-0.637792,0.0183112,0.0175,0.0155617
-0.270643,-0.664376,0.044635,0.0175,0.0155617
-0.180256,-0.757245,0.0445948,0.045,0.0207741
-0.198874,-0.741673,0.0703024,0.025,0.0207741
-0.211286,-0.733609,0.0248228,0.0125,0.0207741
-0.213273,-0.780418,0.0541693,0.0225,0.0207741
-0.197924,-0.775692,0.018661,0.0175,0.0207741
-0.159795,-0.743769,0.0172134,0.0175,0.0207741
-0.0668173,-0.533436,0.0444374,0.045,0.0322863
-0.0804802,-0.559746,0.0251729,0.025,0.0322863
-0.0382851,-0.541309,0.0122438,0.0125,0.0322863
-0.0519229,-0.569816,0.0576046,0.0225,0.0322863
-0.0324491,-0.536092,0.0561326,0.0175,0.0322863
-0.0584576,-0.498587,0.0363349,0.0175,0.0322863
-0.864685,-0.314231,0.0445547,0.045,0.00144883
-0.89106,-0.333633,0.0578924,0.025,0.00144883
-0.848949,-0.333417,0.0805651,0.0125,0.00144883
-0.885247,-0.292382,0.0731653,0.0225,0.00144883
-0.846885,-0.291195,0.066406,0.0175,0.00144883
-0.831511,-0.323178,0.031539,0.0175,0.00144883
-0.68819,-0.408298,0.0447893,0.045,0.00217679
-0.716307,-0.400411,0.0248597,0.025,0.00217679
-0.689057,-0.437698,0.0124259,0.0125,0.00217679
-0.720916,-0.430603,0.0570457,0.0225,0.00217679
-0.683812,-0.442506,0.0564358,0.0175,0.00217679
-0.652171,-0.409069,0.0375723,0.0175,0.00217679
-0.626949,-0.476389,0.0513277,0.045,0.00463317
-0.636874,-0.455169,0.0248471,0.025,0.00463317
-0.595287,-0.478514,0.0212367,0.0125,0.00463317
-0.646888,-0.498322,0.0223426,0.0225,0.00463317
-0.616688,-0.510484,0.0437624,0.0175,0.00463317
-0.598138,-0.475708,0.0741186,0.0175,0.00463317
-0.537901,-0.46454,0.0529928,0.045,0.00505251
-0.517103,-0.460086,0.0247511,0.025,0.00505251
-0.507366,-0.495778,0.0550628,0.0125,0.00505251
-0.550982,-0.488592,0.0218623,0.0225,0.00505251
-0.551661,-0.497548,0.0597844,0.0175,0.00505251
-0.531296,-0.462893,0.0890991,0.0175,0.00505251
-0.36487,-0.453704,0.0479469,0.045,0.0143588
-0.378836,-0.430874,0.0248436,0.025,0.0143588
-0.339422,-0.454943,0.012403,0.0125,0.0143588
-0.390541,-0.47359,0.0221725,0.0225,0.0143588
-0.357306,-0.487572,0.0369596,0.0175,0.0143588
-0.332326,-0.454907,0.064959,0.0175,0.0143588
-0.310223,-0.534742,0.0499659,0.045,0.041109
-0.286236,-0.541382,0.0248546,0.025,0.041109
-0.327499,-0.520696,0.0123267,0.0125,0.041109
-0.286471,-0.501308,0.0439024,0.0225,0.041109
-0.324509,-0.50135,0.0523802,0.0175,0.041109
-0.344527,-0.546804,0.0552326,0.0175,0.041109
-0.147071,-0.43465,0.0449238,0.045,0.093577
-0.119385,-0.422307,0.0267272,0.025,0.093577
-0.112723,-0.436431,0.0719339,0.0125,0.093577
-0.126529,-0.466094,0.0273722,0.0225,0.093577
-0.144085,-0.466571,0.0621616,0.0175,0.093577
-0.163881,-0.422894,0.0754066,0.0175,0.093577
-0.889014,-0.21074,0.044795,0.045,0.00251936
-0.898568,-0.241874,0.0585581,0.025,0.00251936
-0.852469,-0.229229,0.0601276,0.0125,0.00251936
-0.896129,-0.206652,0.0854328,0.0225,0.00251936
-0.868813,-0.188017,0.0648092,0.0175,0.00251936
-0.866671,-0.20176,0.0170437,0.0175,0.00251936
-0.720007,-0.275857,0.0447245,0.045,0.00270196
-0.755339,-0.277146,0.0446609,0.025,0.00270196
-0.731359,-0.302491,0.0119487,0.0125,0.00270196
-0.733012,-0.308387,0.0668918,0.0225,0.00270196
-0.701181,-0.30701,0.0444501,0.0175,0.00270196
-0.695625,-0.264114,0.0198722,0.0175,0.00270196
-0.633697,-0.300769,0.0460825,0.045,0.00755599
-0.660495,-0.310554,0.0251992,0.025,0.00755599
-0.615838,-0.321214,0.011796,0.0125,0.00755599
-0.645072,-0.339637,0.0549495,0.0225,0.00755599
-0.608756,-0.325515,0.0556007,0.0175,0.00755599
-0.605232,-0.278134,0.0408489,0.0175,0.00755599
-0.538063,-0.315698,0.0460911,0.045,0.00627277
-0.51036,-0.319092,0.0243879,0.025,0.00627277
-0.505671,-0.332831,0.0699594,0.0125,0.00627277
-0.537404,-0.353841,0.0298609,0.0225,0.00627277
-0.548559,-0.344328,0.0659692,0.0175,0.00627277
-0.543266,-0.296037,0.0766916,0.0175,0.00627277
-0.443707,-0.313998,0.0448961,0.045,0.00443059
-0.415866,-0.305565,0.0248018,0.025,0.00443059
-0.408152,-0.321571,0.0692068,0.0125,0.00443059
-0.429534,-0.347773,0.0254747,0.0225,0.00443059
-0.44437,-0.346392,0.061485,0.0175,0.00443059
-0.456257,-0.300542,0.0766988,0.0175,0.00443059
-0.352938,-0.326581,0.0468903,0.045,0.00618049
-0.326497,-0.319355,0.0245593,0.025,0.00618049
-0.316431,-0.341696,0.065633,0.0125,0.00618049
-0.345917,-0.359184,0.0222624,0.0225,0.00618049
-0.356448,-0.360448,0.0597624,0.0175,0.00618049
-0.359944,-0.315734,0.0812887,0.0175,0.00618049
-0.263309,-0.292474,0.0446596,0.045,0.0131489
-0.234302,-0.29261,0.0244472,0.025,0.0131489
-0.241117,-0.256131,0.0546188,0.0125,0.0131489
-0.231714,-0.309535,0.0653813,0.0225,0.0131489
-0.259849,-0.287214,0.0805116,0.0175,0.0131489
-0.291856,-0.269444,0.0468254,0.0175,0.0131489
-0.0488243,-0.245734,0.0444574,0.045,0.0472337
-0.0342941,-0.273629,0.0283101,0.025,0.0472337
-0.0105547,-0.232109,0.028262,0.0125,0.0472337
-0.0232784,-0.265428,0.0705018,0.0225,0.0472337
-0.0290067,-0.226931,0.068514,0.0175,0.0472337
-0.0598576,-0.212947,0.0320769,0.0175,0.0472337
-0.824328,-0.114465,0.0456514,0.045,0.00242398
-0.826135,-0.142862,0.0666361,0.025,0.00242398
-0.785627,-0.117447,0.0657967,0.0125,0.00242398
-0.835893,-0.103133,0.083817,0.0225,0.00242398
-0.813032,-0.0828231,0.0596585,0.0175,0.00242398
-0.802934,-0.106232,0.0169376,0.0175,0.00242398
-0.710483,-0.176219,0.044508,0.045,0.00264747
-0.729322,-0.200198,0.0266165,0.025,0.00264747
-0.681986,-0.206092,0.0300852,0.0125,0.00264747
-0.72072,-0.207674,0.0694984,0.0225,0.00264747
-0.687371,-0.187525,0.0702569,0.0175,0.00264747
-0.683644,-0.15326,0.0343822,0.0175,0.00264747
-0.597438,-0.188629,0.0448132,0.045,0.00520823
-0.571028,-0.203557,0.0266562,0.025,0.00520823
-0.560732,-0.179892,0.0669232,0.0125,0.00520823
