X,Y,Z,r,absv
0.35291,0.288231,0.0537456,0.003,271.189
0.0642352,0.133552,0.00600021,0.003,315.777
0.24274,0.348206,0.0605926,0.003,289.82
0.340414,0.281162,0.0893989,0.003,258.476
0.170851,0.361937,0.0791543,0.003,298.07
0.0341191,0.0869003,0.0273872,0.003,316.323
0.209854,0.0837725,0.0957243,0.003,312.515
0.0977139,0.271016,0.089624,0.003,292.734
0.333372,0.299132,0.0432912,0.003,322.085
0.0960423,0.181174,0.0757348,0.003,299.046
0.310587,0.13895,0.022533,0.003,304.561
0.163849,0.229517,0.103224,0.003,296.505
0.112052,0.0802052,0.0792656,0.003,282.581
0.257052,0.274143,0.0681838,0.003,253.751
0.0645765,0.218963,0.0784166,0.003,294.286
0.198506,0.374224,0.059025,0.003,299.939
0.0833122,0.113484,0.01131,0.003,311.994
0.00782045,0.212632,0.0648267,0.003,297.694
0.255707,0.22101,0.051845,0.003,295.927
0.325822,0.0493169,0.0987907,0.003,310.102
0.184287,0.0389104,0.00572733,0.003,299.739
0.290822,0.141511,0.068924,0.003,304.933
0.294197,0.0368035,0.049925,0.003,309.018
0.156556,0.294801,0.0876226,0.003,297.023
0.011343,0.126414,0.0771007,0.003,299.721
0.374411,0.225158,0.0593994,0.003,303.049
0.259523,0.299819,0.0475239,0.003,313.508
0.126453,0.0064539,0.0967578,0.003,276.419
0.173657,0.163324,0.0376233,0.003,263.411
0.156949,0.336706,0.0090845,0.003,256.786
0.335014,0.00262988,0.0601857,0.003,291.727
0.344666,0.187076,0.0696887,0.003,277.729
0.363224,0.203087,0.101746,0.003,295.345
0.327065,0.351063,0.0678436,0.003,277.99
0.213664,0.157686,0.052311,0.003,293.569
0.153377,0.164906,0.0324918,0.003,295.465
0.300547,0.364018,0.094208,0.003,279.487
0.359178,0.258124,0.0500384,0.003,293.72
0.0688,0.108134,0.0407391,0.003,295.738
0.0432923,0.306255,0.00892306,0.003,287.471
0.367886,0.119973,0.0785197,0.003,291.023
0.0996995,0.111696,0.0206297,0.003,290.57
0.367882,0.369091,-0.00231056,0.003,308.106
0.244478,0.0956167,0.025953,0.003,297.143
0.288965,0.309284,0.0699742,0.003,272.509
0.333369,0.147844,0.0222558,0.003,307.805
0.0565777,0.0452611,0.075988,0.003,316.771
0.370634,0.0945986,0.0116434,0.003,270.97
0.0613695,0.0979359,0.00833449,0.003,270.664
0.233473,0.0791151,0.0846149,0.003,280.086
