X,Y,Z,r,absv
0,0,0,0.003,0
0.00659999,0,0,0.003,0
0.0132,0,0,0.003,0
0.0198,0,0,0.003,0
0.0264,0,0,0.003,0
0.033,0,0,0.003,0
0.0396,0,0,0.003,0
0.0462,0,0,0.003,0
0.0528,0,0,0.003,0
0.0594,0,0,0.003,0
0.066,0,0,0.003,0
0.0726,0,0,0.003,0
0.0792,0,0,0.003,0
0.0858,0,0,0.003,0
0.0924,0,0,0.003,0
0.099,0,0,0.003,0
0.1056,0,0,0.003,0
0.1122,0,0,0.003,0
0.1188,0,0,0.003,0
0.1254,0,0,0.003,0
0.132,0,0,0.003,0
0.1386,0,0,0.003,0
0.1452,0,0,0.003,0
0.1518,0,0,0.003,0
0.1584,0,0,0.003,0
0.165,0,0,0.003,0
0.1716,0,0,0.003,0
0.1782,0,0,0.003,0
0.1848,0,0,0.003,0
0.1914,0,0,0.003,0
0.198,0,0,0.003,0
0.2046,0,0,0.003,0
0.2112,0,0,0.003,0
0.2178,0,0,0.003,0
0.2244,0,0,0.003,0
0.231,0,0,0.003,0
0.2376,0,0,0.003,0
0.2442,0,0,0.003,0
0.2508,0,0,0.003,0
0.2574,0,0,0.003,0
0.264,0,0,0.003,0
0.2706,0,0,0.003,0
0.2772,0,0,0.003,0
0.2838,0,0,0.003,0
0.2904,0,0,0.003,0
0.297,0,0,0.003,0
0.3036,0,0,0.003,0
0.3102,0,0,0.003,0
0.3168,0,0,0.003,0
0.3234,0,0,0.003,0
0.33,0,0,0.003,0
0.3366,0,0,0.003,0
0.3432,0,0,0.003,0
0.3498,0,0,0.003,0
0.3564,0,0,0.003,0
0.363,0,0,0.003,0
0.3696,0,0,0.003,0
0.3762,0,0,0.003,0
0.3828,0,0,0.003,0
0.3894,0,0,0.003,0
0.396,0,0,0.003,0
0.00330001,0,0.00571632,0.003,0
0.0099,0,0.00571632,0.003,0
0.0165,0,0.00571632,0.003,0
0.0231,0,0.00571632,0.003,0
0.0297,0,0.00571632,0.003,0
0.0363,0,0.00571632,0.003,0
0.0429,0,0.00571632,0.003,0
0.0495,0,0.00571632,0.003,0
0.0561,0,0.00571632,0.003,0
0.0627,0,0.00571632,0.003,0
0.0693,0,0.00571632,0.003,0
0.0759,0,0.00571632,0.003,0
0.0825,0,0.00571632,0.003,0
0.0891,0,0.00571632,0.003,0
0.0957,0,0.00571632,0.003,0
0.1023,0,0.00571632,0.003,0
0.1089,0,0.00571632,0.003,0
0.1155,0,0.00571632,0.003,0
0.1221,0,0.00571632,0.003,0
0.1287,0,0.00571632,0.003,0
0.1353,0,0.00571632,0.003,0
0.1419,0,0.00571632,0.003,0
